,P1,P2,P3,P4,P5
ABBY,http://data.neonscience.org/api/v0/locations/SOILPL102123,http://data.neonscience.org/api/v0/locations/SOILPL102150,http://data.neonscience.org/api/v0/locations/SOILPL102035,http://data.neonscience.org/api/v0/locations/SOILPL102064,http://data.neonscience.org/api/v0/locations/SOILPL102091
BARR,http://data.neonscience.org/api/v0/locations/SOILPL104764,http://data.neonscience.org/api/v0/locations/SOILPL104791,http://data.neonscience.org/api/v0/locations/SOILPL104823,http://data.neonscience.org/api/v0/locations/SOILPL104850,http://data.neonscience.org/api/v0/locations/SOILPL104735
BART,http://data.neonscience.org/api/v0/locations/SOILPL100494,http://data.neonscience.org/api/v0/locations/SOILPL100495,http://data.neonscience.org/api/v0/locations/SOILPL100493,http://data.neonscience.org/api/v0/locations/SOILPL107937,http://data.neonscience.org/api/v0/locations/SOILPL107991
BLAN,http://data.neonscience.org/api/v0/locations/SOILPL100295,http://data.neonscience.org/api/v0/locations/SOILPL100294,http://data.neonscience.org/api/v0/locations/SOILPL100296,http://data.neonscience.org/api/v0/locations/SOILPL105947,http://data.neonscience.org/api/v0/locations/SOILPL106001
BONA,http://data.neonscience.org/api/v0/locations/SOILPL112014,http://data.neonscience.org/api/v0/locations/SOILPL112010,http://data.neonscience.org/api/v0/locations/SOILPL112013,http://data.neonscience.org/api/v0/locations/SOILPL112012,http://data.neonscience.org/api/v0/locations/SOILPL112011
CLBJ,http://data.neonscience.org/api/v0/locations/SOILPL105012,http://data.neonscience.org/api/v0/locations/SOILPL105071,http://data.neonscience.org/api/v0/locations/SOILPL105039,http://data.neonscience.org/api/v0/locations/SOILPL104983,http://data.neonscience.org/api/v0/locations/SOILPL105098
CPER,http://data.neonscience.org/api/v0/locations/SOILPL100213,http://data.neonscience.org/api/v0/locations/SOILPL100214,http://data.neonscience.org/api/v0/locations/SOILPL100212,http://data.neonscience.org/api/v0/locations/SOILPL101809,http://data.neonscience.org/api/v0/locations/SOILPL101755
DCFS,http://data.neonscience.org/api/v0/locations/SOILPL111754,http://data.neonscience.org/api/v0/locations/SOILPL111756,http://data.neonscience.org/api/v0/locations/SOILPL111758,http://data.neonscience.org/api/v0/locations/SOILPL111753,http://data.neonscience.org/api/v0/locations/SOILPL111755
DEJU,http://data.neonscience.org/api/v0/locations/SOILPL103653,http://data.neonscience.org/api/v0/locations/SOILPL103741,http://data.neonscience.org/api/v0/locations/SOILPL103682,http://data.neonscience.org/api/v0/locations/SOILPL103768,http://data.neonscience.org/api/v0/locations/SOILPL103709
DELA,http://data.neonscience.org/api/v0/locations/SOILPL100546,http://data.neonscience.org/api/v0/locations/SOILPL100544,http://data.neonscience.org/api/v0/locations/SOILPL100545,http://data.neonscience.org/api/v0/locations/SOILPL108198,http://data.neonscience.org/api/v0/locations/SOILPL108145
